Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Calorie Intake,Dietary Preferences,Average Spend per Meal Order
221958,Female,27,7.3,Build muscle,,Whole foods,67.15
771155,Female,24,6.2,Endurance training,2173.0,Whole foods,52.94
231932,Male,22,7.4,Fat loss,1752.0,Whole foods,38.13
465838,Female,23,6.0,Build muscle,2884.0,High protein,61.44
359178,Female,18,9.3,Build muscle,2559.0,Whole foods,69.78
744167,Male,23,5.7,Flexibility,1606.0,Whole foods,44.64
210268,Male,30,5.5,Build muscle,2719.0,Whole foods,62.43
832180,Female,26,6.9,Fat loss,1940.0,High protein,36.91
154886,Male,32,7.0,Fat loss,,Vegan,33.42
237337,Male,24,,Build muscle,2870.0,Whole foods,69.31
621430,Female,31,5.4,Build muscle,,Vegan,50.5
187498,Male,29,5.8,Build muscle,2551.0,Low carb,40.84
999159,Male,25,4.4,General health,2371.0,Whole foods,54.75
275203,Male,24,7.3,Fat loss,1533.0,Low carb,28.69
291335,Female,26,,Endurance training,2095.0,Whole foods,48.53
378167,Male,30,4.3,Flexibility,1588.0,Vegan,36.74
141090,Female,29,,General health,2030.0,Whole foods,49.91
429365,Male,28,6.699999999999999,Fat loss,1955.0,High protein,39.11
164820,Female,22,7.0,Fat loss,1774.0,Low carb,35.79
887201,Male,22,6.5,Endurance training,2245.0,Whole foods,50.75
421879,Female,25,3.9,Endurance training,2110.0,Whole foods,51.12
818315,Male,24,7.4,Fat loss,1733.0,Low carb,35.27
427069,Other,29,5.1,Endurance training,,Whole foods,47.8
876997,Female,21,8.600000000000001,Build muscle,2976.0,Whole foods,78.82
299041,Male,26,5.6,Fat loss,1916.0,High protein,34.56
891743,Female,25,5.699999999999999,Build muscle,2665.0,High protein,52.98
203355,Male,44,7.3,Build muscle,2627.0,High protein,58.95
335796,Male,31,5.7,Build muscle,2736.0,High protein,58.44
314176,Male,23,5.9,Endurance training,2493.0,Whole foods,60.98
284779,Male,19,8.7,Fat loss,1790.0,Whole foods,45.42
447449,Male,29,6.2,Build muscle,2606.0,Whole foods,68.33
521909,Male,21,6.2,Fat loss,1627.0,High protein,37.62
358795,Female,20,7.800000000000001,Fat loss,1694.0,High protein,33.64
586232,Male,24,8.2,Build muscle,2838.0,Low carb,49.41
600186,Male,25,3.6,Endurance training,2393.0,Whole foods,46.36
256730,Male,27,4.5,General health,2274.0,Low carb,41.89
970910,Male,34,5.9,General health,2454.0,Whole foods,59.52
484681,Male,32,4.6,Endurance training,2394.0,Whole foods,63.23
249503,Female,28,6.4,Fat loss,1610.0,Low carb,33.48
754811,Male,27,7.2,Build muscle,2589.0,Whole foods,70.68
627035,Male,28,7.7,Build muscle,2750.0,High protein,52.17
748143,Male,30,5.3,Build muscle,2779.0,Whole foods,72.46
552366,Male,31,5.0,Flexibility,1832.0,Vegan,37.08
165725,Female,22,8.6,Build muscle,2723.0,High protein,59.78
229981,Male,24,7.1,Build muscle,2600.0,Whole foods,56.89
184654,Female,21,,General health,1931.0,Whole foods,49.18
691723,Other,40,5.8,Flexibility,1512.0,Whole foods,28.74
419030,Male,37,6.4,General health,2256.0,Vegan,47.78
428947,Female,27,5.5,Build muscle,2940.0,High protein,59.52
655839,Male,29,5.1000000000000005,Build muscle,2996.0,High protein,55.4
373538,Female,33,6.2,Build muscle,2597.0,,46.45
431236,Male,20,6.8,Build muscle,2619.0,Vegan,60.74
628178,Female,27,6.4,Build muscle,2792.0,High protein,54.86
665894,Male,18,8.5,Fat loss,1803.0,Low carb,34.1
589492,Male,20,4.6,Flexibility,1500.0,Whole foods,37.64
356840,Male,23,7.199999999999999,Build muscle,2559.0,Whole foods,76.52
573254,Female,29,,Endurance training,2249.0,Whole foods,60.61
449457,Female,25,4.3,Endurance training,2139.0,Whole foods,57.38
765987,Female,22,8.4,Build muscle,2648.0,High protein,
370936,Male,27,5.3,Endurance training,2394.0,Whole foods,58.94
339931,Female,29,6.2,Build muscle,2543.0,High protein,38.75
