Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Preferred Sports Drink Type,Average Weekly Consumption (Bottles)
221958,Female,27,7.3,Build muscle,Electrolyte,10
771155,Female,24,6.2,Endurance training,Electrolyte,11
231932,Male,22,7.4,Fat loss,Electrolyte,12
465838,Female,23,6.0,Build muscle,Protein shakes,10
359178,Female,18,9.3,Build muscle,Protein shakes,14
744167,Male,23,5.7,Flexibility,Fresh juice,10
210268,Male,30,5.5,Build muscle,Protein shakes,10
832180,Female,26,6.9,Fat loss,,10
154886,Male,32,7.0,Fat loss,Protein shakes,14
237337,Male,24,,Build muscle,Electrolyte,15
621430,Female,31,5.4,Build muscle,Protein shakes,10
187498,Male,29,5.8,Build muscle,Protein shakes,8
999159,Male,25,4.4,General health,Protein shakes,8
275203,Male,24,7.3,Fat loss,Fresh juice,14
291335,Female,26,,Endurance training,Electrolyte,10
378167,Male,30,4.3,Flexibility,Fresh juice,8
141090,Female,29,,General health,Fresh juice,10
429365,Male,28,6.699999999999999,Fat loss,,9
164820,Female,22,7.0,Fat loss,Fresh juice,11
887201,Male,22,6.5,Endurance training,Fresh juice,19
421879,Female,25,3.9,Endurance training,Protein shakes,7
818315,Male,24,7.4,Fat loss,Fresh juice,12
427069,Other,29,5.1,Endurance training,Protein shakes,6
876997,Female,21,8.600000000000001,Build muscle,Protein shakes,12
299041,Male,26,5.6,Fat loss,Electrolyte,9
891743,Female,25,5.699999999999999,Build muscle,Electrolyte,9
203355,Male,44,7.3,Build muscle,Protein shakes,9
335796,Male,31,5.7,Build muscle,Electrolyte,11
314176,Male,23,5.9,Endurance training,Electrolyte,10
284779,Male,19,8.7,Fat loss,Fresh juice,14
447449,Male,29,6.2,Build muscle,Electrolyte,13
521909,Male,21,6.2,Fat loss,Electrolyte,11
358795,Female,20,7.800000000000001,Fat loss,Protein shakes,11
586232,Male,24,8.2,Build muscle,Protein shakes,15
600186,Male,25,3.6,Endurance training,Energy drinks,12
256730,Male,27,4.5,General health,Energy drinks,7
970910,Male,34,5.9,General health,Energy drinks,10
484681,Male,32,4.6,Endurance training,Protein shakes,6
249503,Female,28,6.4,Fat loss,Protein shakes,11
754811,Male,27,7.2,Build muscle,Protein shakes,15
627035,Male,28,7.7,Build muscle,Energy drinks,11
748143,Male,30,5.3,Build muscle,Protein shakes,11
552366,Male,31,5.0,Flexibility,Fresh juice,11
165725,Female,22,8.6,Build muscle,Electrolyte,10
229981,Male,24,7.1,Build muscle,Protein shakes,11
184654,Female,21,,General health,Electrolyte,10
691723,Other,40,5.8,Flexibility,Fresh juice,9
419030,Male,37,6.4,General health,Fresh juice,10
428947,Female,27,5.5,Build muscle,Protein shakes,8
655839,Male,29,5.1000000000000005,Build muscle,Protein shakes,12
373538,Female,33,6.2,Build muscle,Protein shakes,12
431236,Male,20,6.8,Build muscle,Protein shakes,11
628178,Female,27,6.4,Build muscle,Protein shakes,12
665894,Male,18,8.5,Fat loss,Protein shakes,17
589492,Male,20,4.6,Flexibility,Electrolyte,8
356840,Male,23,7.199999999999999,Build muscle,Fresh juice,15
573254,Female,29,,Endurance training,Electrolyte,13
449457,Female,25,4.3,Endurance training,Fresh juice,12
765987,Female,22,8.4,Build muscle,Electrolyte,10
370936,Male,27,5.3,Endurance training,Electrolyte,7
339931,Female,29,6.2,Build muscle,Electrolyte,13
339629,Male,26,7.7,Build muscle,Electrolyte,12
305041,Male,18,5.1,General health,Fresh juice,13
798361,Male,23,8.7,Build muscle,Protein shakes,9
831912,Female,30,,Flexibility,Fresh juice,10
517113,Male,29,4.5,Build muscle,Protein shakes,6
168148,Female,22,7.699999999999999,Fat loss,Protein shakes,15
877089,Female,21,7.1,Fat loss,Protein shakes,12
748531,Male,33,6.3,Build muscle,,6
351995,Male,32,,Build muscle,,8
778843,Male,29,5.9,Endurance training,Protein shakes,9
672843,Male,27,5.8,General health,Electrolyte,9
356508,Male,21,4.8,General health,Fresh juice,10
903591,Male,41,7.2,Fat loss,Energy drinks,14
996942,Female,20,6.2,General health,Fresh juice,10
206530,Male,32,6.3,Endurance training,Electrolyte,16
704365,Female,30,6.8,General health,Electrolyte,14
922352,Female,29,5.699999999999999,Fat loss,Electrolyte,10
560337,Female,33,3.8,Endurance training,Electrolyte,7
824839,Female,22,6.0,General health,Electrolyte,8
905889,Female,23,7.0,Build muscle,Protein shakes,18
559773,Male,27,6.4,General health,Fresh juice,10
308261,Male,21,8.2,Fat loss,Protein shakes,19
864469,Female,34,7.2,Build muscle,,10
441097,Female,29,7.6,Build muscle,Fresh juice,11
415139,Male,29,7.800000000000001,Build muscle,Electrolyte,9
271829,Male,25,5.8,Fat loss,Fresh juice,8
371836,Male,20,,General health,Fresh juice,9
538974,Female,32,6.1,Build muscle,Protein shakes,8
302283,Male,23,5.2,General health,Fresh juice,12
296769,Male,33,6.0,General health,,11
661353,Male,25,6.6,Build muscle,Electrolyte,9
323165,Male,26,4.9,General health,,6
