Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Gym Membership Length (years),Calorie Intake
221958,Female,27,7.3,Build muscle,4,
771155,Female,24,6.2,Endurance training,4,2173.0
231932,Male,22,7.4,Fat loss,2,1752.0
465838,Female,23,6.0,Build muscle,0,2884.0
359178,Female,18,9.3,Build muscle,5,2559.0
744167,Male,23,5.7,Flexibility,1,1606.0
210268,Male,30,5.5,Build muscle,2,2719.0
832180,Female,26,6.9,Fat loss,1,1940.0
154886,Male,32,7.0,Fat loss,4,
237337,Male,24,,Build muscle,0,2870.0
621430,Female,31,5.4,Build muscle,1,
187498,Male,29,5.8,Build muscle,1,2551.0
999159,Male,25,4.4,General health,1,2371.0
275203,Male,24,7.3,Fat loss,1,1533.0
291335,Female,26,,Endurance training,1,2095.0
378167,Male,30,4.3,Flexibility,1,1588.0
141090,Female,29,,General health,1,2030.0
429365,Male,28,6.699999999999999,Fat loss,3,1955.0
164820,Female,22,7.0,Fat loss,1,1774.0
887201,Male,22,6.5,Endurance training,5,2245.0
421879,Female,25,3.9,Endurance training,1,2110.0
818315,Male,24,7.4,Fat loss,1,1733.0
427069,Other,29,5.1,Endurance training,2,
876997,Female,21,8.600000000000001,Build muscle,4,2976.0
299041,Male,26,5.6,Fat loss,1,1916.0
891743,Female,25,5.699999999999999,Build muscle,1,2665.0
203355,Male,44,7.3,Build muscle,5,2627.0
335796,Male,31,5.7,Build muscle,0,2736.0
314176,Male,23,5.9,Endurance training,1,2493.0
284779,Male,19,8.7,Fat loss,4,1790.0
447449,Male,29,6.2,Build muscle,3,2606.0
521909,Male,21,6.2,Fat loss,0,1627.0
358795,Female,20,7.800000000000001,Fat loss,4,1694.0
586232,Male,24,8.2,Build muscle,5,2838.0
600186,Male,25,3.6,Endurance training,1,2393.0
256730,Male,27,4.5,General health,1,2274.0
970910,Male,34,5.9,General health,5,2454.0
484681,Male,32,4.6,Endurance training,1,2394.0
249503,Female,28,6.4,Fat loss,1,1610.0
754811,Male,27,7.2,Build muscle,4,2589.0
627035,Male,28,7.7,Build muscle,5,2750.0
748143,Male,30,5.3,Build muscle,1,2779.0
552366,Male,31,5.0,Flexibility,4,1832.0
165725,Female,22,8.6,Build muscle,5,2723.0
229981,Male,24,7.1,Build muscle,4,2600.0
184654,Female,21,,General health,3,1931.0
691723,Other,40,5.8,Flexibility,4,1512.0
419030,Male,37,6.4,General health,4,2256.0
428947,Female,27,5.5,Build muscle,3,2940.0
655839,Male,29,5.1000000000000005,Build muscle,0,2996.0
373538,Female,33,6.2,Build muscle,5,2597.0
431236,Male,20,6.8,Build muscle,1,2619.0
628178,Female,27,6.4,Build muscle,4,2792.0
665894,Male,18,8.5,Fat loss,4,1803.0
589492,Male,20,4.6,Flexibility,1,1500.0
356840,Male,23,7.199999999999999,Build muscle,5,2559.0
573254,Female,29,,Endurance training,1,2249.0
449457,Female,25,4.3,Endurance training,1,2139.0
765987,Female,22,8.4,Build muscle,4,2648.0
370936,Male,27,5.3,Endurance training,3,2394.0
339931,Female,29,6.2,Build muscle,4,2543.0
339629,Male,26,7.7,Build muscle,4,2870.0
305041,Male,18,5.1,General health,2,2497.0
798361,Male,23,8.7,Build muscle,5,2607.0
831912,Female,30,,Flexibility,1,1543.0
517113,Male,29,4.5,Build muscle,1,2577.0
168148,Female,22,7.699999999999999,Fat loss,1,1725.0
877089,Female,21,7.1,Fat loss,2,1661.0
748531,Male,33,6.3,Build muscle,4,2780.0
351995,Male,32,,Build muscle,2,2752.0
778843,Male,29,5.9,Endurance training,4,2131.0
672843,Male,27,5.8,General health,3,2247.0
356508,Male,21,4.8,General health,1,2273.0
903591,Male,41,7.2,Fat loss,5,1643.0
996942,Female,20,6.2,General health,1,1908.0
206530,Male,32,6.3,Endurance training,4,2193.0
704365,Female,30,6.8,General health,5,1834.0
922352,Female,29,5.699999999999999,Fat loss,1,1966.0
560337,Female,33,3.8,Endurance training,1,2389.0
824839,Female,22,6.0,General health,1,2074.0
905889,Female,23,7.0,Build muscle,3,2686.0
559773,Male,27,6.4,General health,4,2042.0
308261,Male,21,8.2,Fat loss,3,1763.0
864469,Female,34,7.2,Build muscle,5,2961.0
441097,Female,29,7.6,Build muscle,5,2509.0
415139,Male,29,7.800000000000001,Build muscle,4,2950.0
271829,Male,25,5.8,Fat loss,1,1665.0
371836,Male,20,,General health,1,2340.0
538974,Female,32,6.1,Build muscle,3,2770.0
302283,Male,23,5.2,General health,0,1886.0
296769,Male,33,6.0,General health,3,2334.0
661353,Male,25,6.6,Build muscle,4,2709.0
323165,Male,26,4.9,General health,1,1845.0
723587,Female,26,4.9,Flexibility,1,1966.0
635822,Male,29,5.1,General health,4,2339.0
587879,Female,19,6.2,General health,1,1825.0
664685,Male,27,4.4,Flexibility,1,1765.0
882038,Female,32,4.0,Endurance training,1,2174.0
453531,Male,26,4.7,Build muscle,1,2503.0
363160,Male,33,,General health,1,2110.0
679879,Female,26,4.3,Endurance training,1,2321.0
320884,Other,27,6.1,Fat loss,1,1566.0
123247,Female,32,5.5,Build muscle,1,2634.0
124300,Female,23,7.5,General health,4,1854.0
567281,Female,40,3.7,Build muscle,1,2963.0
707086,Male,35,5.5,Flexibility,4,2042.0
633556,Other,20,7.2,Build muscle,3,2573.0
448951,Male,20,,Build muscle,1,2518.0
374329,Female,36,6.9,Fat loss,1,1655.0
819064,Female,29,6.6,Build muscle,4,2836.0
842139,Female,18,5.7,Endurance training,1,2155.0
532315,Male,28,4.6,Flexibility,1,1646.0
616588,Male,25,,General health,1,2284.0
336584,Female,25,6.6,Build muscle,4,2586.0
662332,Male,30,5.8999999999999995,Build muscle,1,2519.0
937646,Other,30,5.3,General health,4,2068.0
476896,Female,34,7.0,Flexibility,5,1832.0
148984,Male,28,8.8,Fat loss,4,1542.0
402918,Female,31,6.800000000000001,Fat loss,4,1894.0
364712,Male,21,7.1,Build muscle,3,
220151,Female,24,7.9,General health,4,2200.0
555808,Female,23,5.9,Endurance training,3,2437.0
233767,Male,31,4.7,Build muscle,1,2805.0
748663,Male,30,6.2,Build muscle,3,2527.0
803550,Female,41,3.4,General health,1,2266.0
236330,Male,21,5.8999999999999995,Build muscle,2,2759.0
580754,Female,26,5.1,Build muscle,1,2521.0
401648,Male,31,8.3,Fat loss,5,1969.0
788519,Male,19,7.4,Build muscle,2,2874.0
113986,Male,19,,Build muscle,1,2600.0
686146,Male,34,5.5,General health,4,2350.0
229312,Male,21,5.3,General health,2,2152.0
112666,Female,32,,General health,1,2099.0
400804,Male,34,5.3,General health,1,2481.0
234633,Male,22,10.3,Fat loss,5,1795.0
388998,Male,29,3.7,General health,1,2152.0
950937,Male,29,6.1000000000000005,Build muscle,1,2895.0
728776,Male,25,4.0,Endurance training,2,2129.0
807611,Female,27,3.9,Flexibility,0,
384806,Female,31,3.9000000000000004,Build muscle,0,2573.0
894824,Male,26,4.9,Build muscle,1,2841.0
130535,Female,20,8.6,Fat loss,3,1964.0
475713,Female,29,5.5,Build muscle,1,2589.0
938688,Male,22,8.6,Build muscle,4,2566.0
451279,Female,30,5.2,General health,4,2254.0
921654,Other,21,,Flexibility,1,1831.0
701661,Male,21,6.1,Fat loss,1,1726.0
747972,Male,25,,Build muscle,3,2964.0
589570,Female,34,4.7,Build muscle,1,2847.0
556551,Female,31,5.2,General health,1,2032.0
373109,Male,22,9.1,Fat loss,4,1765.0
124538,Female,18,8.0,Build muscle,3,2585.0
994498,Female,28,5.699999999999999,Fat loss,1,1601.0
301664,Female,29,6.0,Build muscle,4,2940.0
591234,Female,30,7.2,Fat loss,4,1980.0
999684,Female,33,3.9,General health,1,2013.0
239182,Male,25,7.8,Fat loss,5,1607.0
572525,Male,31,7.1,Endurance training,5,2164.0
258338,Female,25,5.300000000000001,Build muscle,3,2960.0
284064,Female,32,5.8,General health,4,2402.0
314020,Male,31,4.5,Endurance training,1,2191.0
723094,Female,21,7.4,Build muscle,4,2834.0
997421,Female,27,,Fat loss,1,1585.0
715270,Male,31,4.2,Build muscle,1,2721.0
745914,Female,39,5.3,General health,1,2223.0
219176,Female,21,7.199999999999999,Fat loss,3,1600.0
318126,Female,28,5.5,Flexibility,2,1863.0
318969,Male,32,7.0,Build muscle,4,2559.0
222409,Male,33,3.1,General health,0,2281.0
647707,Female,25,4.3,Endurance training,2,2249.0
353618,Male,27,6.7,General health,5,2359.0
869598,Male,37,4.2,Build muscle,0,2616.0
150015,Male,29,6.8999999999999995,Fat loss,3,1726.0
872838,Male,32,6.9,General health,4,2344.0
222096,Male,18,9.100000000000001,Build muscle,5,2543.0
731347,Male,20,6.8,Build muscle,4,2975.0
285340,Male,36,5.7,Fat loss,1,1664.0
210687,Male,18,8.7,Fat loss,3,
974371,Female,23,7.2,Build muscle,3,2844.0
511357,Female,25,5.3999999999999995,Build muscle,1,2791.0
835716,Male,33,4.5,Build muscle,0,2836.0
205878,Female,21,5.8,General health,0,2085.0
827270,Male,28,3.6,Endurance training,1,2203.0
298286,Female,24,8.3,General health,5,2483.0
873290,Female,18,5.7,Flexibility,0,2023.0
874684,Other,31,7.4,Fat loss,4,
264899,Female,25,,Build muscle,6,2620.0
424767,Female,32,5.8,Build muscle,2,2932.0
961882,Female,21,5.7,Build muscle,1,2743.0
979858,Male,22,6.5,Flexibility,1,2163.0
479989,Male,24,6.3,Fat loss,1,1651.0
515515,Female,42,5.9,Build muscle,4,2687.0
143585,Male,26,6.8,Build muscle,5,2894.0
471369,Female,30,6.7,Fat loss,2,1512.0
164044,Male,25,3.6,Endurance training,1,2090.0
542296,Male,32,6.0,Build muscle,4,
209556,Male,29,6.5,Flexibility,4,2085.0
626981,Male,33,5.5,Fat loss,1,1755.0
981691,Female,20,,Build muscle,4,2955.0
867595,Male,22,,General health,1,2247.0
300235,Male,34,6.7,Build muscle,4,2775.0
125939,Male,31,4.0,Flexibility,1,1570.0
252906,Male,32,5.6,Flexibility,5,2089.0
642335,Female,25,5.5,General health,4,1929.0
388249,Male,32,4.8,General health,1,1842.0
175766,Female,24,8.6,Build muscle,5,2507.0
508923,Female,28,4.3,Flexibility,1,1512.0
515192,Female,31,6.4,Fat loss,1,1712.0
668550,Female,20,6.5,General health,3,2422.0
487261,Female,21,6.5,Flexibility,4,2034.0
910208,Other,38,5.9,Flexibility,4,1801.0
785440,Male,31,,General health,0,2326.0
752664,Male,28,6.4,Build muscle,2,2629.0
