Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Average Spend on Apparel ($/year),Type of Apparel Purchased,Primary Apparel Purchase Channel
221958,Female,27,7.3,Build muscle,643.34,Accessories,Brand Website
771155,Female,24,6.2,Endurance training,659.13,Leisure,Physical Retailer
231932,Male,22,7.4,Fat loss,761.12,Performance,Physical Retailer
465838,Female,23,6.0,Build muscle,234.87,Performance,E-commerce Retailer
359178,Female,18,9.3,Build muscle,539.69,Leisure,E-commerce Retailer
744167,Male,23,5.7,Flexibility,818.03,Outerwear,Physical Retailer
210268,Male,30,5.5,Build muscle,867.62,Performance,Brand Website
832180,Female,26,6.9,Fat loss,587.83,Accessories,Physical Retailer
154886,Male,32,7.0,Fat loss,868.63,Accessories,E-commerce Retailer
237337,Male,24,,Build muscle,865.06,,Physical Retailer
621430,Female,31,5.4,Build muscle,684.46,Performance,Brand Website
187498,Male,29,5.8,Build muscle,895.53,Leisure,Brand Website
999159,Male,25,4.4,General health,699.35,Footwear,Physical Retailer
275203,Male,24,7.3,Fat loss,635.62,Performance,Brand Website
291335,Female,26,,Endurance training,251.09,Performance,E-commerce Retailer
378167,Male,30,4.3,Flexibility,865.03,,E-commerce Retailer
141090,Female,29,,General health,563.29,Footwear,Physical Retailer
429365,Male,28,6.699999999999999,Fat loss,547.7,Accessories,Physical Retailer
164820,Female,22,7.0,Fat loss,303.55,Performance,Physical Retailer
887201,Male,22,6.5,Endurance training,584.06,Footwear,E-commerce Retailer
421879,Female,25,3.9,Endurance training,579.58,Performance,Physical Retailer
818315,Male,24,7.4,Fat loss,835.77,Footwear,Physical Retailer
427069,Other,29,5.1,Endurance training,386.92,Leisure,Physical Retailer
876997,Female,21,8.600000000000001,Build muscle,442.38,Performance,Physical Retailer
299041,Male,26,5.6,Fat loss,595.3,Footwear,Physical Retailer
891743,Female,25,5.699999999999999,Build muscle,526.59,Accessories,Physical Retailer
203355,Male,44,7.3,Build muscle,758.55,Performance,Physical Retailer
335796,Male,31,5.7,Build muscle,865.06,Outerwear,Physical Retailer
314176,Male,23,5.9,Endurance training,832.35,Performance,Physical Retailer
284779,Male,19,8.7,Fat loss,747.12,Performance,Brand Website
447449,Male,29,6.2,Build muscle,733.86,Performance,Physical Retailer
521909,Male,21,6.2,Fat loss,632.53,Outerwear,Physical Retailer
358795,Female,20,7.800000000000001,Fat loss,280.48,Leisure,Physical Retailer
586232,Male,24,8.2,Build muscle,868.88,Performance,E-commerce Retailer
600186,Male,25,3.6,Endurance training,937.67,Footwear,Brand Website
256730,Male,27,4.5,General health,753.44,Yoga,Physical Retailer
970910,Male,34,5.9,General health,701.47,Outerwear,Brand Website
484681,Male,32,4.6,Endurance training,638.25,,Physical Retailer
249503,Female,28,6.4,Fat loss,386.86,Yoga,Physical Retailer
754811,Male,27,7.2,Build muscle,644.03,Footwear,E-commerce Retailer
627035,Male,28,7.7,Build muscle,1077.3,Performance,Physical Retailer
748143,Male,30,5.3,Build muscle,603.85,Performance,Physical Retailer
552366,Male,31,5.0,Flexibility,841.05,Performance,E-commerce Retailer
165725,Female,22,8.6,Build muscle,660.46,Performance,E-commerce Retailer
229981,Male,24,7.1,Build muscle,889.86,Outerwear,E-commerce Retailer
184654,Female,21,,General health,519.18,Leisure,E-commerce Retailer
691723,Other,40,5.8,Flexibility,738.65,Yoga,E-commerce Retailer
419030,Male,37,6.4,General health,592.73,,Physical Retailer
428947,Female,27,5.5,Build muscle,573.78,Performance,Brand Website
655839,Male,29,5.1000000000000005,Build muscle,1025.92,Outerwear,Brand Website
373538,Female,33,6.2,Build muscle,739.45,,E-commerce Retailer
431236,Male,20,6.8,Build muscle,629.14,Performance,E-commerce Retailer
628178,Female,27,6.4,Build muscle,368.69,Outerwear,Brand Website
665894,Male,18,8.5,Fat loss,652.89,Performance,Physical Retailer
589492,Male,20,4.6,Flexibility,782.95,Accessories,E-commerce Retailer
356840,Male,23,7.199999999999999,Build muscle,1039.87,Performance,E-commerce Retailer
573254,Female,29,,Endurance training,347.43,Performance,Physical Retailer
449457,Female,25,4.3,Endurance training,354.09,Performance,E-commerce Retailer
765987,Female,22,8.4,Build muscle,621.45,Yoga,Physical Retailer
370936,Male,27,5.3,Endurance training,712.53,,Physical Retailer
339931,Female,29,6.2,Build muscle,531.78,Performance,Physical Retailer
339629,Male,26,7.7,Build muscle,830.11,Outerwear,Physical Retailer
305041,Male,18,5.1,General health,484.61,Performance,Brand Website
798361,Male,23,8.7,Build muscle,698.97,Accessories,E-commerce Retailer
831912,Female,30,,Flexibility,401.88,Yoga,E-commerce Retailer
517113,Male,29,4.5,Build muscle,718.06,Yoga,E-commerce Retailer
168148,Female,22,7.699999999999999,Fat loss,751.8,Accessories,Physical Retailer
877089,Female,21,7.1,Fat loss,689.62,Performance,Physical Retailer
748531,Male,33,6.3,Build muscle,788.47,Accessories,Physical Retailer
351995,Male,32,,Build muscle,997.02,Performance,Brand Website
778843,Male,29,5.9,Endurance training,695.53,Footwear,Physical Retailer
672843,Male,27,5.8,General health,1079.63,Performance,Brand Website
356508,Male,21,4.8,General health,699.3,Yoga,Brand Website
903591,Male,41,7.2,Fat loss,813.38,Footwear,E-commerce Retailer
996942,Female,20,6.2,General health,602.86,Performance,Brand Website
206530,Male,32,6.3,Endurance training,818.51,Leisure,E-commerce Retailer
704365,Female,30,6.8,General health,922.6,Accessories,Physical Retailer
922352,Female,29,5.699999999999999,Fat loss,745.85,Accessories,E-commerce Retailer
560337,Female,33,3.8,Endurance training,583.37,Performance,Brand Website
824839,Female,22,6.0,General health,875.47,Leisure,Physical Retailer
905889,Female,23,7.0,Build muscle,161.6,Accessories,Physical Retailer
559773,Male,27,6.4,General health,727.4,Footwear,E-commerce Retailer
308261,Male,21,8.2,Fat loss,904.88,Performance,Physical Retailer
864469,Female,34,7.2,Build muscle,602.82,Yoga,Physical Retailer
441097,Female,29,7.6,Build muscle,721.1,Outerwear,E-commerce Retailer
415139,Male,29,7.800000000000001,Build muscle,780.92,Outerwear,Physical Retailer
271829,Male,25,5.8,Fat loss,870.92,Performance,Brand Website
371836,Male,20,,General health,391.63,Yoga,Physical Retailer
538974,Female,32,6.1,Build muscle,714.1,Performance,Physical Retailer
302283,Male,23,5.2,General health,627.54,Accessories,Physical Retailer
296769,Male,33,6.0,General health,848.65,Yoga,Physical Retailer
661353,Male,25,6.6,Build muscle,644.55,Performance,Brand Website
323165,Male,26,4.9,General health,671.68,Outerwear,Physical Retailer
723587,Female,26,4.9,Flexibility,654.78,Accessories,E-commerce Retailer
635822,Male,29,5.1,General health,642.15,Performance,Physical Retailer
587879,Female,19,6.2,General health,493.72,Accessories,Physical Retailer
664685,Male,27,4.4,Flexibility,620.99,Yoga,Brand Website
882038,Female,32,4.0,Endurance training,810.06,Performance,Physical Retailer
453531,Male,26,4.7,Build muscle,952.69,Performance,Brand Website
363160,Male,33,,General health,605.59,Performance,Physical Retailer
679879,Female,26,4.3,Endurance training,599.68,Performance,Physical Retailer
320884,Other,27,6.1,Fat loss,957.37,Footwear,E-commerce Retailer
123247,Female,32,5.5,Build muscle,649.78,Performance,Brand Website
124300,Female,23,7.5,General health,521.77,Footwear,Physical Retailer
567281,Female,40,3.7,Build muscle,514.19,Yoga,Physical Retailer
707086,Male,35,5.5,Flexibility,967.69,Leisure,Physical Retailer
633556,Other,20,7.2,Build muscle,578.59,Leisure,E-commerce Retailer
448951,Male,20,,Build muscle,777.48,Performance,Physical Retailer
374329,Female,36,6.9,Fat loss,496.8,Footwear,Brand Website
819064,Female,29,6.6,Build muscle,683.37,Accessories,Physical Retailer
842139,Female,18,5.7,Endurance training,731.73,Performance,Physical Retailer
532315,Male,28,4.6,Flexibility,671.81,Leisure,Brand Website
616588,Male,25,,General health,731.45,Outerwear,Physical Retailer
336584,Female,25,6.6,Build muscle,715.11,Performance,Physical Retailer
662332,Male,30,5.8999999999999995,Build muscle,811.56,Accessories,Physical Retailer
937646,Other,30,5.3,General health,894.74,Leisure,Brand Website
476896,Female,34,7.0,Flexibility,662.56,Leisure,Physical Retailer
148984,Male,28,8.8,Fat loss,706.6,Footwear,Physical Retailer
402918,Female,31,6.800000000000001,Fat loss,879.57,Footwear,Physical Retailer
364712,Male,21,7.1,Build muscle,981.81,Performance,E-commerce Retailer
220151,Female,24,7.9,General health,491.71,Performance,Brand Website
555808,Female,23,5.9,Endurance training,579.6,Performance,E-commerce Retailer
